dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc
credit,1,42,0,0,0,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[4.0, 18.0, 4.0, 1.0, 3229.0, 5.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 38.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,False,False,0,6.573,nn,0.74
credit,1,42,0,0,1,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[4.0, 18.0, 4.0, 1.0, 3229.0, 5.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 38.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,False,False,0,6.48,nn,0.74
credit,1,42,0,0,2,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[4.0, 18.0, 4.0, 1.0, 3229.0, 5.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 38.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,False,False,0,6.574,nn,0.74
credit,1,42,0,0,3,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[4.0, 18.0, 4.0, 1.0, 3229.0, 5.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 38.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,False,False,0,6.551,nn,0.74
credit,1,42,0,0,4,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[4.0, 18.0, 4.0, 1.0, 3229.0, 5.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 38.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,False,False,0,6.58,nn,0.74
credit,1,42,0,23,0,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[4.0, 18.0, 4.0, 3.0, 2238.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 25.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,6.36,nn,0.74
credit,1,42,0,23,1,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[4.0, 18.0, 4.0, 3.0, 2238.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 25.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,6.41,nn,0.74
credit,1,42,0,23,2,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[4.0, 18.0, 4.0, 3.0, 2238.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 25.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,6.449,nn,0.74
credit,1,42,0,23,3,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[4.0, 18.0, 4.0, 3.0, 2238.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 25.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,6.417,nn,0.74
credit,1,42,0,23,4,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[4.0, 18.0, 4.0, 3.0, 2238.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 25.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,49.045,nn,0.74
